cycle, src_component, src_port, dst_component, dst_port, state, data
4, lhs_initop, 0, lhs_res_mux, 0, accept, 1
4, rhs_source, 0, rhs_constant, 0, stall, 
4, rhs_out_bl_res, 0, out_eq_res, 1, idle, u
4, lhs_res_mux, 0, lhs_out_bl_res, 0, idle, u
4, rhs_ctrl_init, 0, rhs_ctrl_mux, 0, transfer, 1
4, rhs_ctrl_muxed_fork, 0, rhs_buff, 0, idle, 1
4, out_buf_lhs_nds_res, 0, lhs_out_bl_res, 1, stall, 
4, rhs_buff, 0, rhs_ctrl_init, 0, stall, 1
4, rhs_init_fork, 1, rhs_data_mux, 0, accept, 1
4, out_buf_rhs_nds_res, 0, rhs_out_bl_res, 1, stall, 
4, rhs_source2, 0, rhs_constant2, 0, stall, 
4, rhs_mux_passer_ctrl, 0, rhs_ctrl_passer, 1, stall, 1
4, out_lf_res, 0, out_buf_lhs_nds_res, 0, idle, 
4, rhs_passer, 0, rhs_out_bl_res, 0, idle, u
4, rhs_initop, 0, rhs_init_fork, 0, accept, 1
4, rhs_constant, 0, rhs_ctrl_mux2, 2, stall, 1
4, rhs_ctrl_muxed_fork, 2, rhs_ctrl_passer, 0, accept, 1
4, lhs_in_buf_dataT, 0, lhs_res_mux, 2, stall, u
4, out_lf_res, 1, out_buf_rhs_nds_res, 0, idle, 
4, cond, 0, in_fork_cond, 0, transfer, 1
4, rhs_in_buf_cond, 0, rhs_ctrl_mux, 2, transfer, 1
4, rhs_ctrl_mux2, 0, rhs_passer, 1, idle, 1
4, out_src_res, 0, out_lf_res, 0, stall, 
4, in_fork_dataT, 1, rhs_in_buf_dataT, 0, idle, u
5, rhs_constant2, 0, rhs_mux_passer_ctrl, 2, transfer, 1
5, in_fork_cond, 0, lhs_in_buf_cond, 0, accept, 0
5, rhs_data_mux, 0, rhs_passer, 0, transfer, u
5, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, transfer, 1
5, rhs_init_fork, 0, rhs_ctrl_mux2, 0, transfer, 1
5, rhs_ctrl_passer, 0, rhs_initop, 0, transfer, 1
5, out_eq_res, 0, EQ_res, 0, transfer, u
5, rhs_in_buf_dataT, 0, rhs_data_mux, 2, transfer, u
5, lhs_in_buf_cond, 0, lhs_initop, 0, transfer, 1
5, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, stall, 1
5, dataT, 1, in_fork_dataT, 0, accept, u
5, in_fork_dataT, 0, lhs_in_buf_dataT, 0, accept, u
5, lhs_out_bl_res, 0, out_eq_res, 0, transfer, u
5, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, stall, 1
5, in_fork_cond, 1, rhs_in_buf_cond, 0, stall, 0
5, lhs_initop, 0, lhs_res_mux, 0, transfer, 1
5, rhs_source, 0, rhs_constant, 0, transfer, 
5, rhs_out_bl_res, 0, out_eq_res, 1, transfer, u
5, lhs_res_mux, 0, lhs_out_bl_res, 0, transfer, u
5, rhs_ctrl_init, 0, rhs_ctrl_mux, 0, stall, 1
5, rhs_ctrl_muxed_fork, 0, rhs_buff, 0, transfer, 1
5, out_buf_lhs_nds_res, 0, lhs_out_bl_res, 1, transfer, 
5, rhs_buff, 0, rhs_ctrl_init, 0, transfer, 1
5, rhs_init_fork, 1, rhs_data_mux, 0, transfer, 1
5, out_buf_rhs_nds_res, 0, rhs_out_bl_res, 1, transfer, 
5, rhs_source2, 0, rhs_constant2, 0, transfer, 
5, rhs_mux_passer_ctrl, 0, rhs_ctrl_passer, 1, transfer, 1
5, out_lf_res, 0, out_buf_lhs_nds_res, 0, transfer, 
5, rhs_passer, 0, rhs_out_bl_res, 0, transfer, u
5, rhs_initop, 0, rhs_init_fork, 0, transfer, 1
5, rhs_constant, 0, rhs_ctrl_mux2, 2, transfer, 1
5, rhs_ctrl_muxed_fork, 2, rhs_ctrl_passer, 0, transfer, 1
5, lhs_in_buf_dataT, 0, lhs_res_mux, 2, transfer, u
5, out_lf_res, 1, out_buf_rhs_nds_res, 0, transfer, 
5, cond, 0, in_fork_cond, 0, stall, 0
5, rhs_in_buf_cond, 0, rhs_ctrl_mux, 2, stall, 1
5, rhs_ctrl_mux2, 0, rhs_passer, 1, transfer, 1
5, out_src_res, 0, out_lf_res, 0, transfer, 
5, in_fork_dataT, 1, rhs_in_buf_dataT, 0, accept, u
6, rhs_constant2, 0, rhs_mux_passer_ctrl, 2, stall, 1
6, in_fork_cond, 0, lhs_in_buf_cond, 0, transfer, 0
6, rhs_data_mux, 0, rhs_passer, 0, idle, u
6, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, stall, 1
6, rhs_init_fork, 0, rhs_ctrl_mux2, 0, accept, 1
6, rhs_ctrl_passer, 0, rhs_initop, 0, accept, 1
6, out_eq_res, 0, EQ_res, 0, accept, u
6, rhs_in_buf_dataT, 0, rhs_data_mux, 2, accept, u
6, lhs_in_buf_cond, 0, lhs_initop, 0, accept, 1
6, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, transfer, 1
6, lhs_out_bl_res, 0, out_eq_res, 0, idle, u
6, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, transfer, 1
6, in_fork_cond, 1, rhs_in_buf_cond, 0, transfer, 0
6, lhs_initop, 0, lhs_res_mux, 0, accept, 1
6, rhs_source, 0, rhs_constant, 0, stall, 
6, rhs_out_bl_res, 0, out_eq_res, 1, idle, u
6, lhs_res_mux, 0, lhs_out_bl_res, 0, idle, u
6, rhs_ctrl_init, 0, rhs_ctrl_mux, 0, transfer, 1
6, rhs_ctrl_muxed_fork, 0, rhs_buff, 0, idle, 1
6, out_buf_lhs_nds_res, 0, lhs_out_bl_res, 1, stall, 
